disaster_num,disaster_year,year,state,AFS_name,pounds,dollars,5_yr_avg_pounds,5_yr_avg_value,prct_dif_pounds,prct_dif_value,prct_decr_value,dollar_diff_nominal,dollar_diff_real,management,appropration_amt,approp_real_ratio
67,2015-2016,2015,CALIFORNIA,"CRAB, DUNGENESS AND ROCK",3499713,17558353,,,0.144272317,0.258772274,-0.741227726,50294175.2,55323592.72,state,25797268,0.466297772
66,2015,2015,WASHINGTON,"SALMON, COHO",,,,,,,,,5521605.54,federal_tribal,14606939,
65,2015,2015,"WASHINGTON, TRIBAL",,,,,,,,,,,tribal,2827909,
64,2013,2013,GEORGIA,"SHRIMP, WHITE",1215959,4019063,3252617,7949717.8,0.37,0.51,-0.49,3930654.8,4402333.38,state,1062000,0.241235706
63,2013,2013,WASHINGTON,"SALMON, SOCKEYE",,115000,,4100000,,0.02804878,-0.97195122,3985000,4463200,tribal,1932000,0.432873275
61,2012,2012,NEW YORK AND NEW JERSEY,ALL FISH,217540005,242704436,199169030.4,226146373.8,1.09,1.07,0.07,-16558062.2,-18876190.91,federal_state,7846160,-0.41566437
59,2012,2012,FLORIDA,"Oyster, Eastern",3332559,9779769,2730323.2,6814505.4,1.22,1.44,0.44,-2965263.6,-3380400.5,state,6316533,-1.868575336
58,2012,2012,ALASKA,"SALMON, CHINOOK",,,,,,,,,2035908.784,tribal,,
58,2012,2011,ALASKA,"SALMON, CHINOOK",43004,145373.53,748930,1931258.43,0.18,0.2,-0.8,1540875.69,1516163.791,tribal,20797524,11.83965857
56,2011-2013,2013,"MA, ME, NH, CT, RI, and NY",GROUNDFISH,43384034,56773863,63731512.2,77027150.2,0.680731282,0.737063008,-0.262936992,20253287.2,22683681.66,federal,32847955,1.448087462
56,2011-2013,2012,"MA, ME, NH, CT, RI, and NY",GROUNDFISH,55775449,75912182,,,0.875162805,0.985524997,-0.014475003,1114968.2,1259914.066,federal,32847955,26.07158368
56,2011-2013,2011,"MA, ME, NH, CT, RI, and NY",GROUNDFISH,67500725,86838597,,,1.059142058,1.127376474,0.127376474,-9811446.8,-11479392.76,federal,32847955,-2.861471482
55,2011,2011,MISSISSIPPI,ALL FISH,277769300,30162827,54823108,22043434.2,5.07,1.37,0.37,-8119392.8,-9499689.58,state,10941828,-1.151809005
53,2010,2010,OREGON,SALMON,,2123497,,2584475.6,,0.821635538,-0.178364462,460978.6,548564.534,federal,,
51,2009,2009,America Samoa,BOTTOMFISH,,,,,,,-0.8,200000,244000,federal,1000000,4.098360656
50,contin,contin,"OR, CA",SALMON,,,,,,,,,,federal,,
49,2010,2010,"LA, MS, AL, and FL",ALL FISH,909584781,461242897,1144678564,477498549.6,0.79,0.97,-0.03,16255652.6,19344226.59,federal,26000000,1.344070277
47,2002-2009,2002-2009,WA,"SALMON, SOCKEYE",,,,,,,,,,tribal,2000000,
46,2009,2009,MAINE,SHELLFISH,4686734,15632108,5538127.8,20385001.2,0.85,0.77,-0.23,4752893.2,5798529.7,federal,,
